0,0,0
0.0005,50.8834384436359,0.358513838671559
0.001,100.513957760339,0.930692230565934
0.0015,147.669489850282,2.02436863205081
0.002,191.188909013173,3.4454247516234
0.0025,230.000622716548,5.1229296743898
0.003,263.148957760339,6.98306198634115
0.0035,289.81769212275,8.9506012734497
0.004,309.350153055325,10.9504851498802
0.0045,321.26538654538,12.9093905149008
0.005,325.27,14.757297423612
0.0055,321.26538654538,16.4289946399654
0.006,309.350153055325,17.8654876074474
0.0065,289.81769212275,19.0152721845322
0.007,263.148957760339,19.8354409863453
0.0075,230.000622716548,20.2925934667848
0.008,191.188909013173,20.3635258626267
0.0085,147.669489850282,20.0356826816502
0.009,100.513957760339,19.3073574150371
0.0095,50.8834384436359,18.1876364438101
0.01,3.9834086435866e-14,4.71320414315588e-09
0.0105,-50.883438443636,-15.5199365985939
0.011,-100.513957760339,-14.6657044015126
0.0115,-147.669489850282,-14.4507938139983
0.012,-191.188909013173,-14.6879370180705
0.0125,-230.000622716548,-15.2943249243374
0.013,-263.148957760339,-16.1853896232643
0.0135,-289.81769212275,-17.2761880648998
0.014,-309.350153055325,-18.4828615400801
0.0145,-321.26538654538,-19.7241286840079
0.015,-325.27,-20.9227695018818
0.0155,-321.26538654538,-22.0070586839619
0.016,-309.350153055325,-22.9121082206866
0.0165,-289.81769212275,-23.5810820092319
0.017,-263.148957760339,-23.9662486997168
0.0175,-230.000622716548,-24.0298433785831
0.018,-191.188909013173,-23.7447137250909
0.0185,-147.669489850282,-23.0947318836466
0.019,-100.513957760339,-22.0749593347539
0.0195,-50.883438443636,-20.6915583747531
0.02,-7.96681728717319e-14,5.23266139722658e-09
0.0205,50.8834384436361,17.5770735977218
0.021,100.513957760339,16.529302703254
0.0215,147.669489850283,16.1368399969121
0.022,191.188909013173,16.2133471491185
0.0225,230.000622716548,16.6744034123182
0.023,263.148957760339,17.4339827676445
0.0235,289.81769212275,18.4058229754616
0.024,309.350153055325,19.5048718211613
0.0245,321.26538654538,20.6487681443244
0.025,325.27,21.7593150307785
0.0255,321.26538654538,22.7639033262495
0.026,309.350153055324,23.5968453838806
0.0265,289.81769212275,24.200581648045
0.027,263.148957760339,24.5267262421623
0.0275,230.000622716548,24.5369220852226
0.028,191.188909013173,24.2034811070772
0.0285,147.669489850282,23.5097907456031
0.029,100.513957760339,22.4504739546017
0.0295,50.8834384436357,21.0312962838102
0.03,1.19502259307598e-13,5.51852624150856e-09
0.0305,-50.8834384436361,-17.856190695846
0.031,-100.513957760339,-16.7821600248816
0.0315,-147.669489850283,-16.3656066386524
0.032,-191.188909013173,-16.4203183224445
0.0325,-230.000622716548,-16.8616556551035
0.033,-263.148957760339,-17.6033947780199
0.0335,-289.81769212275,-18.5590944607509
0.034,-309.350153055325,-19.6435405510104
0.0345,-321.26538654538,-20.7742253791141
0.035,-325.27,-21.8728194801172
0.0355,-321.26538654538,-22.866593777588
0.036,-309.350153055324,-23.689752127954
0.0365,-289.817692122751,-24.2846368157705
0.037,-263.148957760339,-24.6027731567043
0.0375,-230.000622716548,-24.6057237230524
0.038,-191.188909013173,-24.2657277529177
0.0385,-147.669489850282,-23.5661069180591
0.039,-100.513957760339,-22.501424671961
0.0395,-50.8834384436358,-21.077392732878
0.04,-1.59336345743464e-13,5.2514517781054e-09
0.0405,50.883438443636,17.8940619685918
0.041,100.51395776034,16.8164683077299
0.0415,147.669489850283,16.3966462390825
0.042,191.188909013173,16.4484006597699
0.0425,230.000622716548,16.8870624785813
0.043,263.148957760339,17.626380993642
0.0435,289.817692122751,18.5798906887143
0.044,309.350153055325,19.6623554395259
0.0445,321.26538654538,20.7912476977684
0.045,325.27,21.8882200137887
0.0455,321.26538654538,22.8805270399214
0.046,309.350153055325,23.7023579115824
0.0465,289.81769212275,24.29604159484
0.047,263.148957760339,24.6130913557724
0.0475,230.000622716548,24.6150588650916
0.048,191.188909013172,24.2741734979424
0.0485,147.669489850282,23.5737480027967
0.049,100.513957760339,22.5083377599957
0.0495,50.8834384436358,21.0836471837971
0.05,-3.7862515697239e-13,5.03375790200003e-09
0.0505,-50.883438443636,-17.8992004127333
0.051,-100.513957760339,-16.8211233197139
0.0515,-147.669489850283,-16.4008577518055
0.052,-191.188909013173,-16.4522109276241
0.0525,-230.000622716548,-16.8905097301725
0.053,-263.148957760339,-17.6294998153294
0.0535,-289.81769212275,-18.5827123716114
0.054,-309.350153055325,-19.6649082934428
0.0545,-321.26538654538,-20.7935573352447
0.055,-325.27,-21.8903096070692
0.0555,-321.26538654538,-22.8824175534497
0.056,-309.350153055325,-23.7040683123467
0.0565,-289.81769212275,-24.2975890426811
0.057,-263.148957760339,-24.6144913755617
0.0575,-230.000622716548,-24.6163255025079
0.058,-191.188909013173,-24.2753194604089
0.0585,-147.669489850282,-23.5747847869922
0.059,-100.513957760339,-22.5092757672186
0.0595,-50.8834384436353,-21.0844958243397
0.06,-2.39004518615196e-13,5.17359619596885e-09
0.0605,50.8834384436359,17.8998976266538
0.061,100.513957760339,16.8217549378559
0.0615,147.669489850282,16.4014291917819
0.062,191.188909013173,16.4527279223119
0.0625,230.000622716548,16.8909774663052
0.063,263.148957760339,17.6299229855423
0.0635,289.817692122751,18.5830952215265
0.064,309.350153055324,19.6652546642654
0.0645,321.26538654538,20.7938707023008
0.065,325.27,21.8905931146682
0.0655,321.26538654538,22.8826740464237
0.066,309.350153055324,23.7043003645829
0.0665,289.81769212275,24.2977989829331
0.067,263.148957760339,24.6146813107995
0.0675,230.000622716548,24.6164973390415
0.068,191.188909013172,24.2754749229971
0.0685,147.669489850282,23.574925436129
0.069,100.513957760339,22.5094030147716
0.0695,50.8834384436353,21.084610947697
0.07,-8.76752573252377e-13,4.53587422674822e-09
0.0705,-50.883438443637,-17.8999922083524
0.071,-100.513957760339,-16.8218406219572
0.0715,-147.669489850283,-16.401506713935
0.072,-191.188909013173,-16.4527980606632
0.0725,-230.000622716548,-16.8910409248142
0.073,-263.148957760339,-17.6299804010381
0.0735,-289.81769212275,-18.5831471700928
0.074,-309.350153055324,-19.6653016670199
0.0745,-321.26538654538,-20.7939132306257
0.075,-325.27,-21.8906315949439
0.0755,-321.265386545381,-22.8827088643147
0.076,-309.350153055325,-23.7043318689168
0.0765,-289.81769212275,-24.2978274892128
0.077,-263.148957760339,-24.614707104383
0.0775,-230.000622716548,-24.6165206780207
0.078,-191.188909013173,-24.2754960408044
0.0785,-147.669489850282,-23.5749445438971
0.079,-100.513957760339,-22.5094203034702
0.0795,-50.8834384436353,-21.0846265900669
0.08,-3.18672691486928e-13,5.09395701122133e-09
0.0805,50.8834384436359,17.9000050593063
0.081,100.513957760339,16.8218522630624
0.0815,147.669489850283,16.401517244432
0.082,191.188909013173,16.4528075858371
0.0825,230.000622716548,16.8910495399696
0.083,263.148957760339,17.6299881924613
0.0835,289.817692122751,18.5831542159219
0.084,309.350153055325,19.665308038029
0.0845,321.265386545381,20.793918990933
0.085,325.27,21.8906368026504
0.0855,321.26538654538,22.8827135720791
0.086,309.350153055324,23.7043361244742
0.0865,289.81769212275,24.2978313358408
0.087,263.148957760338,24.6147105813221
0.0875,230.000622716548,24.6165238208517
0.088,191.188909013173,24.275498881788
0.0885,147.669489850282,23.5749471122803
0.089,100.51395776034,22.5094226257608
0.0895,50.8834384436365,21.0846286902817
0.09,3.58506777922794e-13,5.77113592885658e-09
0.0905,-50.8834384436358,-17.9000067850653
0.091,-100.513957760339,-16.82185382727
0.0915,-147.669489850282,-16.4015186611272
0.092,-191.188909013172,-16.4528088696008
0.0925,-230.000622716548,-16.8910507039432
0.093,-263.148957760339,-17.6299892484721
0.0935,-289.817692122751,-18.583155174598
0.094,-309.350153055324,-19.6653089089055
0.0945,-321.26538654538,-20.7939197825491
0.095,-325.27,-21.8906375226406
0.0955,-321.26538654538,-22.8827142272572
0.096,-309.350153055324,-23.7043367209113
0.0965,-289.81769212275,-24.2978318789392
0.097,-263.148957760339,-24.6147110758835
0.0975,-230.000622716548,-24.6165242711412
0.098,-191.188909013172,-24.2754992915946
0.0985,-147.669489850281,-23.5749474849721
0.099,-100.513957760339,-22.5094229643378
0.0995,-50.8834384436354,-21.0846289974234
0.1,7.57250313944779e-13,6.16987845255384e-09
0.1005,50.8834384436369,17.9000070371027
0.101,100.513957760339,16.8218540547784
0.1015,147.669489850283,16.4015188654379
0.102,191.188909013173,16.452809052397
0.1025,230.000622716549,16.8910508667983
0.103,263.14895776034,17.6299893928718
0.1035,289.817692122751,18.5831553019588
0.104,309.350153055325,19.6653090205897
0.1045,321.26538654538,20.7939198798767
0.105,325.27,21.890637606897
0.1055,321.26538654538,22.8827142996991
0.106,309.350153055324,23.7043367827689
0.1065,289.817692122751,24.2978319314162
