Time,Channel A
(ms),(A)

9.13407994,0.08188117
9.17503994,0.08188117
9.21599994,0.09106724
9.25695994,0.09106724
9.29791994,0.08188117
9.33887994,0.09106724
9.37983994,0.10940890
9.42079994,0.11859490
9.46175994,0.05432295
9.50271994,0.09106724
9.54367994,0.16449480
9.58463994,0.09106724
9.62559994,0.07269509
9.66655994,0.09106724
9.70751994,0.10022280
9.74847994,0.09106724
9.78943994,0.10022280
9.83039994,0.10022280
9.87135994,0.10022280
9.91231994,0.09106724
9.95327994,0.09106724
9.99423994,0.10022280
10.03519994,0.09106724
10.07615994,0.09106724
10.11711994,0.10022280
10.15807994,0.09106724
10.19903994,0.11859490
10.23999994,0.10940890
10.28095994,0.10022280
10.32191994,0.08188117
10.36287994,0.09106724
10.40383994,0.09106724
10.44479994,0.09106724
10.48575994,0.08188117
10.52671994,0.01763970
10.56767994,0.09106724
10.60863994,0.08188117
10.64959994,0.08188117
10.69055994,0.07269509
10.73151993,0.09106724
10.77247993,-0.00073244
10.81343993,0.08188117
10.85439993,0.08188117
10.89535993,0.06350902
10.93631993,0.06350902
10.97727993,0.04513688
11.01823993,0.05432295
11.05919993,0.08188117
11.10015993,0.12778100
11.14111993,0.07269509
11.18207993,0.05432295
11.22303993,0.07269509
11.26399993,0.05432295
11.30495993,0.05432295
11.34591993,0.04513688
11.38687993,0.05432295
11.42783993,-0.00073244
11.46879993,0.04513688
11.50975993,0.05432295
11.55071993,-0.01910459
11.59167993,0.08188117
11.63263993,0.03595081
11.67359993,0.04513688
11.71455993,0.03595081
11.75551993,0.05432295
11.79647993,0.00845363
11.83743993,0.02679525
11.87839993,0.00845363
11.91935993,0.04513688
11.96031993,0.02679525
12.00127993,0.00845363
12.04223993,0.03595081
12.08319993,0.05432295
12.12415993,-0.02829066
12.16511993,0.04513688
12.20607993,-0.05581836
12.24703993,-0.12009030
12.28799993,-0.06500443
12.32895993,-0.01910459
12.36991992,0.02679525
12.41087992,0.01763970
12.45183992,0.00845363
12.49279992,-0.01910459
12.53375992,-0.02829066
12.57471992,-0.00991852
12.61567992,-0.09256265
12.65663992,-0.00073244
12.69759992,-0.03747673
12.73855992,-0.01910459
12.77951992,-0.05581836
12.82047992,-0.06500443
12.86143992,-0.04663229
12.90239992,-0.05581836
12.94335992,-0.08337657
12.98431992,0.01763970
13.02527992,-0.01910459
13.06623992,0.00845363
13.10719992,-0.09256265
13.14815992,-0.08337657
13.18911992,-0.16602070
13.23007992,0.00845363
13.27103992,-0.01910459
13.31199992,-0.00073244
13.35295992,-0.00073244
13.39391992,-0.05581836
13.43487992,-0.08337657
13.47583992,-0.06500443
13.51679992,-0.05581836
13.55775992,-0.02829066
13.59871992,-0.04663229
13.63967992,-0.01910459
13.68063992,0.00845363
13.72159992,-0.05581836
13.76255992,-0.03747673
13.80351992,-0.14764860
13.84447992,0.02679525
13.88543992,-0.10174870
13.92639992,0.02679525
13.96735992,-0.12927640
14.00831991,-0.05581836
14.04927991,-0.04663229
14.09023991,-0.07419050
14.13119991,-0.02829066
14.17215991,-0.05581836
14.21311991,-0.13846250
14.25407991,-0.09256265
14.29503991,-0.11090430
14.33599991,-0.05581836
14.37695991,-0.13846250
14.41791991,-0.06500443
14.45887991,-0.12009030
14.49983991,-0.04663229
14.54079991,-0.13846250
14.58175991,-0.05581836
14.62271991,-0.10174870
14.66367991,-0.00991852
14.70463991,-0.09256265
14.74559991,-0.09256265
14.78655991,-0.16602070
14.82751991,-0.06500443
14.86847991,-0.13846250
14.90943991,-0.06500443
14.95039991,-0.10174870
14.99135991,-0.10174870
15.03231991,-0.12009030
15.07327991,-0.12927640
15.11423991,-0.16602070
15.15519991,-0.09256265
15.19615991,-0.08337657
15.23711991,-0.14764860
15.27807991,-0.08337657
15.31903991,-0.05581836
15.35999991,-0.20273450
15.40095991,-0.22110660
15.44191991,-0.08337657
15.48287991,-0.16602070
15.52383991,-0.20273450
15.56479991,-0.20273450
15.60575991,-0.19354840
15.64671990,-0.14764860
15.68767990,-0.09256265
15.72863990,-0.07419050
15.76959990,0.12778100
15.81055990,0.10940890
15.85151990,0.12778100
15.89247990,0.27469710
15.93343990,0.24713890
15.97439990,0.32978300
16.01535990,0.41242720
16.05631990,0.37568290
16.09727990,0.42158270
16.13823990,0.45832700
16.17919990,0.49504070
16.22015990,0.48585470
16.26111990,0.54097110
16.30207990,0.53178500
16.34303990,0.54097110
16.38399990,0.54097110
16.42495990,0.55931280
16.46591990,0.56849880
16.50687990,0.56849880
16.54783990,0.55931280
16.58879990,0.55931280
16.62975990,0.55931280
16.67071990,0.51341290
16.71167990,0.51341290
16.75263990,0.51341290
16.79359990,0.50422680
16.83455990,0.49504070
16.87551990,0.48585470
16.91647990,0.45832700
16.95743990,0.43995480
16.99839990,0.42158270
17.03935990,0.41242720
17.08031990,0.39405500
17.12127990,0.38486890
17.16223990,0.33896910
17.20319990,0.34815520
17.24415990,0.31141090
17.28511989,0.31141090
17.32607989,0.29303880
17.36703989,0.27469710
17.40799989,0.23795280
17.44895989,0.23795280
17.48991989,0.21042510
17.53087989,0.20123910
17.57183989,0.19205300
17.61279989,0.16449480
17.65375989,0.16449480
17.69471989,0.13696710
17.73567989,0.14615320
17.77663989,0.10022280
17.81759989,0.12778100
17.85855989,0.10022280
17.89951989,0.12778100
17.94047989,0.10022280
17.98143989,0.08188117
18.02239989,0.09106724
18.06335989,0.05432295
18.10431989,0.05432295
18.14527989,0.04513688
18.18623989,0.04513688
18.22719989,0.02679525
18.26815989,0.01763970
18.30911989,0.01763970
18.35007989,0.01763970
18.39103989,0.02679525
18.43199989,-0.00073244
18.47295989,-0.00073244
18.51391989,-0.00073244
18.55487989,-0.00991852
18.59583989,-0.00991852
18.63679989,-0.00991852
18.67775989,-0.01910459
18.71871989,-0.01910459
18.75967989,-0.01910459
18.80063989,-0.01910459
18.84159989,-0.02829066
18.88255989,-0.00073244
18.92351988,-0.02829066
18.96447988,-0.05581836
19.00543988,-0.02829066
19.04639988,-0.02829066
19.08735988,-0.02829066
19.12831988,-0.01910459
19.16927988,-0.09256265
19.21023988,-0.04663229
19.25119988,-0.02829066
19.29215988,-0.02829066
19.33311988,-0.02829066
19.37407988,-0.04663229
19.41503988,-0.01910459
19.45599988,-0.02829066
19.49695988,-0.01910459
19.53791988,-0.04663229
19.57887988,-0.03747673
19.61983988,-0.04663229
19.66079988,-0.03747673
19.70175988,-0.04663229
19.74271988,-0.00073244
19.78367988,0.03595081
19.82463988,-0.01910459
19.86559988,-0.01910459
19.90655988,-0.03747673
19.94751988,-0.01910459
19.98847988,-0.02829066
20.02943988,-0.04663229
20.07039988,-0.01910459
20.11135988,-0.02829066
20.15231988,-0.01910459
20.19327988,-0.03747673
20.23423988,-0.02829066
20.27519988,-0.02829066
20.31615988,-0.02829066
20.35711988,-0.01910459
20.39807988,-0.01910459
20.43903988,-0.01910459
20.47999988,-0.01910459
20.52095988,-0.01910459
20.56191988,-0.01910459
20.60287987,-0.01910459
20.64383987,-0.20273450
20.68479987,-0.01910459
20.72575987,-0.01910459
20.76671987,-0.01910459
20.80767987,0.04513688
20.84863987,0.00845363
20.88959987,-0.01910459
20.93055987,0.00845363
20.97151987,-0.13846250
21.01247987,0.01763970
21.05343987,-0.00073244
21.09439987,0.00845363
21.13535987,-0.00073244
21.17631987,0.02679525
21.21727987,0.01763970
21.25823987,-0.00073244
21.29919987,-0.01910459
21.34015987,0.01763970
21.38111987,0.01763970
21.42207987,0.01763970
21.46303987,0.01763970
21.50399987,-0.00991852
21.54495987,0.01763970
21.58591987,0.10022280
21.62687987,-0.03747673
21.66783987,0.01763970
21.70879987,0.01763970
21.74975987,0.01763970
21.79071987,0.10022280
21.83167987,0.01763970
21.87263987,0.00845363
21.91359987,0.04513688
21.95455987,0.00845363
21.99551987,0.01763970
22.03647987,0.09106724
22.07743987,0.06350902
22.11839987,0.10022280
22.15935987,0.11859490
22.20031987,0.01763970
22.24127986,0.11859490
22.28223986,-0.01910459
22.32319986,0.01763970
22.36415986,0.07269509
22.40511986,0.01763970
22.44607986,0.10022280
22.48703986,-0.05581836
22.52799986,0.12778100
22.56895986,0.05432295
22.60991986,0.09106724
22.65087986,0.07269509
22.69183986,0.10022280
22.73279986,0.10022280
22.77375986,0.01763970
22.81471986,0.01763970
22.85567986,0.11859490
22.89663986,0.03595081
22.93759986,0.05432295
22.97855986,0.02679525
23.01951986,0.12778100
23.06047986,0.08188117
23.10143986,0.15533920
23.14239986,-0.09256265
23.18335986,0.14615320
23.22431986,0.07269509
23.26527986,0.05432295
23.30623986,0.04513688
23.34719986,0.09106724
23.38815986,0.16449480
23.42911986,0.00845363
23.47007986,0.07269509
23.51103986,0.05432295
23.55199986,0.10022280
23.59295986,0.10022280
23.63391986,0.14615320
23.67487986,0.01763970
23.71583986,0.15533920
23.75679986,0.10022280
23.79775986,0.15533920
23.83871986,0.19205300
23.87967985,0.16449480
23.92063985,-0.05581836
23.96159985,0.13696710
24.00255985,0.12778100
24.04351985,0.12778100
24.08447985,0.12778100
24.12543985,0.10022280
24.16639985,0.08188117
24.20735985,0.16449480
24.24831985,0.13696710
24.28927985,0.16449480
24.33023985,0.12778100
24.37119985,0.20123910
24.41215985,0.12778100
24.45311985,0.21042510
24.49407985,0.10022280
24.53503985,0.11859490
24.57599985,0.14615320
24.61695985,0.31141090
24.65791985,0.12778100
24.69887985,0.21042510
24.73983985,0.11859490
24.78079985,0.11859490
24.82175985,0.21961120
24.86271985,0.12778100
24.90367985,0.21042510
24.94463985,0.13696710
24.98559985,0.12778100
25.02655985,0.14615320
25.06751985,0.16449480
25.10847985,0.16449480
25.14943985,0.16449480
25.19039985,0.07269509
25.23135985,0.12778100
25.27231985,0.11859490
25.31327985,0.07269509
25.35423985,0.09106724
25.39519985,0.15533920
25.43615985,0.20123910
25.47711985,0.26551100
25.51807984,0.21961120
25.55903984,0.20123910
25.59999984,0.12778100
25.64095984,0.05432295
25.68191984,-0.06500443
25.72287984,-0.12927640
25.76383984,-0.23029270
25.80479984,-0.31290630
25.84575984,-0.37717830
25.88671984,-0.43226420
25.92767984,-0.51490830
25.96863984,-0.59755240
26.00959984,-0.64345230
26.05055984,-0.64345230
26.09151984,-0.68938260
26.13247984,-0.76281020
26.17343984,-0.75365460
26.21439984,-0.78118230
26.25535984,-0.77199630
26.29631984,-0.81792660
26.33727984,-0.83626820
26.37823984,-0.86382640
26.41919984,-0.85464040
26.46015984,-0.85464040
26.50111984,-0.85464040
26.54207984,-0.84545430
26.58303984,-0.83626820
26.62399984,-0.82708220
26.66495984,-0.79955450
26.70591984,-0.80874060
26.74687984,-0.76281020
26.78783984,-0.79955450
26.82879984,-0.71691040
26.86975984,-0.68019660
26.91071984,-0.67101050
26.95167984,-0.64345230
26.99263984,-0.59755240
27.03359984,-0.56999420
27.07455984,-0.54246650
27.11551984,-0.50572220
27.15647983,-0.47819450
27.19743983,-0.45982240
27.23839983,-0.42310860
27.27935983,-0.40473650
27.32031983,-0.37717830
27.36127983,-0.34965060
27.40223983,-0.27619250
27.44319983,-0.32209240
27.48415983,-0.30372020
27.52511983,-0.25782040
27.56607983,-0.23944820
27.60703983,-0.23944820
27.64799983,-0.21192050
27.68895983,-0.19354840
27.72991983,-0.17517620
27.77087983,-0.16602070
27.81183983,-0.13846250
27.85279983,-0.13846250
27.89375983,-0.12927640
27.93471983,-0.09256265
27.97567983,-0.09256265
28.01663983,-0.09256265
28.05759983,-0.06500443
28.09855983,-0.08337657
28.13951983,-0.04663229
28.18047983,-0.02829066
28.22143983,-0.03747673
28.26239983,-0.02829066
28.30335983,-0.00073244
28.34431983,-0.00073244
28.38527983,0.01763970
28.42623983,0.01763970
28.46719983,0.00845363
28.50815983,0.02679525
28.54911983,0.03595081
28.59007983,0.02679525
28.63103983,0.04513688
28.67199983,0.03595081
28.71295983,0.05432295
28.75391983,0.07269509
28.79487983,0.05432295
28.83583982,0.14615320
28.87679982,0.03595081
28.91775982,0.08188117
28.95871982,0.05432295
28.99967982,0.05432295
29.04063982,0.05432295
29.08159982,0.08188117
29.12255982,0.07269509
29.16351982,0.08188117
29.20447982,0.05432295
29.24543982,0.09106724
29.28639982,0.09106724
29.32735982,0.12778100
29.36831982,0.16449480
29.40927982,0.09106724
29.45023982,0.08188117
29.49119982,0.09106724
29.53215982,0.12778100
29.57311982,0.07269509
29.61407982,0.09106724
29.65503982,0.09106724
29.69599982,0.06350902
29.73695982,0.10940890
29.77791982,0.10022280
29.81887982,0.03595081
29.85983982,0.09106724
29.90079982,0.10022280
29.94175982,0.09106724
29.98271982,0.10940890
30.02367982,0.09106724
30.06463982,0.09106724
30.10559982,0.12778100
30.14655982,0.07269509
30.18751982,0.09106724
30.22847982,0.08188117
30.26943982,0.04513688
30.31039982,0.08188117
30.35135982,0.09106724
30.39231982,0.09106724
30.43327982,0.09106724
30.47423981,0.06350902
30.51519981,0.09106724
30.55615981,0.08188117
30.59711981,0.09106724
30.63807981,0.00845363
30.67903981,0.08188117
30.71999981,0.09106724
30.76095981,0.07269509
30.80191981,0.08188117
30.84287981,0.05432295
30.88383981,0.04513688
30.92479981,0.10940890
30.96575981,0.08188117
31.00671981,0.05432295
31.04767981,0.12778100
31.08863981,0.04513688
31.12959981,0.05432295
31.17055981,-0.00991852
31.21151981,0.01763970
31.25247981,0.02679525
31.29343981,0.05432295
31.33439981,0.03595081
31.37535981,0.01763970
31.41631981,0.03595081
31.45727981,0.05432295
31.49823981,0.01763970
31.53919981,0.09106724
31.58015981,0.03595081
31.62111981,0.02679525
31.66207981,0.01763970
31.70303981,0.08188117
31.74399981,0.01763970
31.78495981,0.01763970
31.82591981,-0.08337657
31.86687981,-0.00073244
31.90783981,0.04513688
31.94879981,0.01763970
31.98975981,0.01763970
32.03071981,-0.01910459
32.07167981,0.01763970
32.11263980,0.01763970
32.15359980,0.04513688
32.19455980,-0.00991852
32.23551980,-0.04663229
32.27647980,0.02679525
32.31743980,0.02679525
32.35839980,-0.00073244
32.39935980,0.09106724
32.44031980,-0.08337657
32.48127980,0.03595081
32.52223980,0.04513688
32.56319980,0.12778100
32.60415980,-0.06500443
32.64511980,0.10940890
32.68607980,-0.00073244
32.72703980,-0.01910459
32.76799980,0.01763970
32.80895980,-0.02829066
32.84991980,-0.05581836
32.89087980,-0.05581836
32.93183980,-0.05581836
32.97279980,-0.05581836
33.01375980,-0.08337657
33.05471980,-0.00073244
33.09567980,-0.08337657
33.13663980,-0.07419050
33.17759980,-0.11090430
33.21855980,-0.00073244
33.25951980,-0.06500443
33.30047980,-0.07419050
33.34143980,0.00845363
33.38239980,-0.01910459
33.42335980,-0.01910459
33.46431980,-0.05581836
33.50527980,-0.05581836
33.54623980,-0.09256265
33.58719980,-0.07419050
